"Data downloaded from Eurostat; Germany";;
Year;GDP;Unem
1991;2038.505;5.6
1992;2077.722;6.6
1993;2057.856;7.8
1994;2108.425;8.4
1995;2145.062;8.2
1996;2162.606;8.9
1997;2202.597;9.6
1998;2246.2;9.4
1999;2290.835;8.6
2000;2358.691;7.9
2001;2398.682;7.8
2002;2398.682;8.6
2003;2381.653;9.7
2004;2409.518;10.4
2005;2426.546;11.2
2006;2516.333;10.1
2007;2598.378;8.5
2008;2626.501;7.4
2009;2478.922;7.6
2010;2580.06;7
2011;2674.49;5.8
2012;2687.649;5.4
2013;2700.807;5.2
2014;2743.894;5
2015;2791.109;4.6
2016;2842.968;4.1
2017;2889.626;4
2018;2943.199;3.9
